,player_name,name,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate_attack,work_rate_defense,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url,id,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position_long,team_title,npg,npxG,xGChain,xGBuildup,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS.,AerialsWon,MotM,Rating,club,shot_num,npg_num,npxG_num,xGgg03_sum,xGss03_sum,xGgg03_goal_sum,xGss03_goal_sum,situation_OpenPlay,situation_SetPiece,situation_OpenPlay_goal,situation_SetPiece_goal,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot,shotType_Head_goal,shotType_LeftFoot_goal,shotType_OtherBodyPart_goal,shotType_RightFoot_goal,shotZone_SixYardBox,shotZone_PenaltyArea,shotZone_OutOfBox,shotZone_SixYardBox_goal,shotZone_PenaltyArea_goal,shotZone_OutOfBox_goal,crowdedArea,crowdedArea_goal,npxG_diff,xGgg03_goal_P,xGss03_goal_P,situation_OpenPlay_goal_P,situation_SetPiece_goal_P,shotType_Head_goal_P,shotType_LeftFoot_goal_P,shotType_OtherBodyPart_goal_P,shotType_RightFoot_goal_P,shotZone_SixYardBox_goal_P,shotZone_PenaltyArea_goal_P,shotZone_OutOfBox_goal_P,crowdedArea_goal_P,position_short
28,Jamie Vardy,Vardy,208830,https://sofifa.com/player/208830/jamie-vardy/220002,J. Vardy,Jamie Vardy,ST,86,86,33000000,180000,34,1/11/87,179,74,95,Leicester City,English Premier League,1,ST,9,NA,5/1/12,2023,14,England,NA,NA,NA,Right,4,3,3,High,Medium,Unique,Yes,62700000,NA,"Dives Into Tackles (AI), Team Player, Chip Shot (AI)",85,84,70,80,52,73,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54,15,14,7,15,11,NA,84+2,84+2,84+2,81,83,83,83,81,80+3,80+3,80+3,80+3,74+3,74+3,74+3,80+3,68+3,65+3,65+3,65+3,68+3,67+3,63+3,63+3,63+3,67+3,22+3,https://cdn.sofifa.net/players/208/830/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,755,34,2848,15,19.94294611,9,5.087881522,82,28,1,0,F S,Leicester,7,13.09242658,18.22790737,2.412587734,Jamie Vardy,31(3),2846,15,9,1,0,2.4,67.5,1.5,3,7.11,Leicester,73,7,13.09242662,21,52,7,0,65,8,7,0,13,20,0,40,1,1,0,5,9,57,7,2,5,0,45,5,-6.09242662,0.333333333,0,0.107692308,0,0.076923077,0.05,NA,0.125,0.222222222,0.087719298,0,0.111111111,ST
29,Jarrod Bowen,Bowen,224371,https://sofifa.com/player/224371/jarrod-bowen/220002,J. Bowen,Jarrod Bowen,"RM, ST",78,83,21000000,57000,24,12/20/96,175,70,19,West Ham United,English Premier League,1,SUB,20,NA,1/31/20,2025,14,England,NA,NA,NA,Left,3,4,1,High,Medium,Normal (170-185),Yes,41500000,NA,"Long Shot Taker (AI), Technical Dribbler (AI)",76,74,73,79,44,65,76,78,64,73,53,80,71,70,67,78,78,75,79,77,82,69,63,78,62,76,56,37,79,74,70,72,49,40,36,14,8,14,10,7,NA,74+2,74+2,74+2,77,77,77,77,77,76+2,76+2,76+2,77+2,71+2,71+2,71+2,77+2,62+2,59+2,59+2,59+2,62+2,59+2,53+2,53+2,53+2,59+2,17+2,https://cdn.sofifa.net/players/224/371/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,1776,38,2599,8,7.988894353,5,5.229475777,55,29,0,0,F M S,West Ham,8,7.988894353,14.17193911,3.096994995,Jarrod Bowen,30(8),2579,8,5,0,0,1.4,74.4,0.6,1,6.75,West Ham,55,8,7.988894319,10,45,4,4,47,8,6,2,2,38,2,13,0,5,2,1,6,34,15,1,7,0,21,5,0.011105681,0.4,0.088888889,0.127659574,0.25,0,0.131578947,1,0.076923077,0.166666667,0.205882353,0,0.238095238,W
30,Jesse Lingard,Lingard,207494,https://sofifa.com/player/207494/jesse-lingard/220002,J. Lingard,Jesse Lingard,CAM,79,79,17500000,115000,28,12/15/92,175,60,11,Manchester United,English Premier League,1,SUB,14,NA,7/1/11,2022,14,England,NA,NA,NA,Right,3,4,2,High,Medium,Lean (170-185),Yes,32400000,NA,"Long Shot Taker (AI), Technical Dribbler (AI)",76,79,75,80,58,68,74,78,67,78,76,80,79,68,65,80,78,75,83,81,84,79,65,79,60,81,74,54,83,79,70,77,63,57,49,14,10,8,13,9,NA,77+2,77+2,77+2,79,79,79,79,79,79,79,79,78+1,75+2,75+2,75+2,78+1,69+2,68+2,68+2,68+2,69+2,67+2,63+2,63+2,63+2,67+2,19+2,https://cdn.sofifa.net/players/207/494/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,558,16,1434,9,5.249168519,4,2.329288414,42,18,3,0,F M,West Ham,8,3.726830892,10.09570865,5.690425143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Ham,40,8,3.726830884,4,36,3,5,35,5,7,1,0,9,0,31,0,4,0,4,1,21,18,1,7,0,12,4,4.273169116,0.75,0.138888889,0.2,0.2,NA,0.444444444,NA,0.129032258,1,0.333333333,0,0.333333333,CM
31,Joe Willock,Willock,237329,https://sofifa.com/player/237329/joe-willock/220002,J. Willock,Joseph Willock,"CAM, CM",75,83,12500000,26000,21,8/20/99,186,76,13,Newcastle United,English Premier League,1,RCM,28,NA,8/13/21,2026,14,England,NA,NA,NA,Right,3,3,1,Medium,Medium,Lean (185+),Yes,26300000,NA,NA,76,72,68,76,61,69,60,76,64,76,66,78,64,46,69,77,74,78,74,77,70,73,60,74,66,66,70,62,78,69,62,70,58,65,53,11,6,12,8,9,NA,74+2,74+2,74+2,74,75,75,75,74,75+2,75+2,75+2,74+2,73+2,73+2,73+2,74+2,68+2,68+2,68+2,68+2,68+2,67+2,65+2,65+2,65+2,67+2,16+2,https://cdn.sofifa.net/players/237/329/22_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,6630,21,1215,8,5.088089783,0,0.73370116,23,10,1,0,M S,"Arsenal,Newcastle United",8,4.326921005,7.007069375,2.987727125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Newcastle United,22,8,4.326920946,6,16,5,3,21,1,7,1,6,5,0,11,2,3,0,3,3,17,2,3,5,0,14,5,3.673079054,0.833333333,0.1875,0.333333333,1,0.333333333,0.6,NA,0.272727273,1,0.294117647,0,0.357142857,CM
32,Kelechi Iheanacho,Iheanacho,225719,https://sofifa.com/player/225719/kelechi-iheanacho/220002,K. Iheanacho,Kelechi Promise Iheanacho,"ST, CF",78,82,20500000,83000,24,10/3/96,185,82,95,Leicester City,English Premier League,1,SUB,14,NA,8/3/17,2024,133,Nigeria,NA,NA,NA,Left,3,4,1,Medium,Medium,Normal (185+),Yes,40500000,NA,"Finesse Shot, Flair, Long Shot Taker (AI), Team Player",74,80,70,77,38,71,59,82,67,77,77,79,74,64,69,78,75,74,73,77,72,81,57,71,73,78,71,30,80,71,70,68,39,36,32,8,7,7,11,15,NA,78+2,78+2,78+2,76,78,78,78,76,77+2,77+2,77+2,75+2,71+2,71+2,71+2,75+2,58+2,58+2,58+2,58+2,58+2,55+2,52+2,52+2,52+2,55+2,17+2,https://cdn.sofifa.net/players/225/719/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/ng.png,620,25,1452,12,9.048596148,2,3.534099193,59,28,1,0,F S,Leicester,12,8.287427311,13.96156364,3.429915309,Kelechi Iheanacho,16(9),1458,12,2,1,0,2.4,79.8,0.3,2,6.84,Leicester,58,12,8.287427424,12,46,6,6,55,3,12,0,3,50,1,4,1,9,0,2,6,31,21,1,9,2,21,7,3.712572576,0.5,0.130434783,0.218181818,0,0.333333333,0.18,0,0.5,0.166666667,0.290322581,0.095238095,0.333333333,ST
33,Kurt Zouma,Zouma,204311,https://sofifa.com/player/204311/kurt-zouma/220002,K. Zouma,Kurt Happy Zouma,CB,81,84,30000000,75000,26,10/27/94,190,95,19,West Ham United,English Premier League,1,SUB,4,NA,8/28/21,2025,18,France,1335,SUB,15,Right,3,2,2,Medium,Medium,Normal (185+),Yes,59300000,#Strength,Power Header,65,51,63,57,81,85,49,47,84,72,47,50,60,59,68,64,54,74,52,78,52,63,91,67,93,49,84,80,49,60,59,69,81,82,78,14,14,7,9,15,NA,62+2,62+2,62+2,58,60,60,60,58,60+2,60+2,60+2,60+2,66+2,66+2,66+2,60+2,70+2,75+2,75+2,75+2,70+2,73+2,81+2,81+2,81+2,73+2,20+2,https://cdn.sofifa.net/players/204/311/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png,935,24,2024,5,3.136853445,0,0.081466971,27,4,3,0,D S,Chelsea,5,3.136853445,6.216146336,6.133133308,Kurt Zouma,22(2),2025,5,0,3,0,1.1,90.9,3.6,1,7.07,Chelsea,27,5,3.136853449,5,22,2,3,5,22,0,5,18,2,1,6,4,0,0,1,0,23,4,0,5,0,23,5,1.863146551,0.4,0.136363636,0,0.227272727,0.222222222,0,0,0.166666667,NA,0.217391304,0,0.217391304,DEF
34,Leandro Trossard,Trossard,207421,https://sofifa.com/player/207421/leandro-trossard/220002,L. Trossard,Leandro Trossard,"LM, LW, ST",77,78,12500000,55000,26,12/4/94,172,67,1808,Brighton & Hove Albion,English Premier League,1,CAM,11,NA,7/1/19,2023,7,Belgium,1325,SUB,20,Right,4,4,1,High,Medium,Normal (170-185),Yes,24700000,#Acrobat,"Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",82,76,74,80,30,61,74,76,62,75,74,79,81,69,73,77,89,76,92,72,85,76,78,71,60,79,47,18,75,74,75,80,30,31,18,14,8,11,7,7,NA,74+2,74+2,74+2,77,76,76,76,77,77+1,77+1,77+1,76+2,70+2,70+2,70+2,76+2,55+2,52+2,52+2,52+2,55+2,51+2,43+2,43+2,43+2,51+2,16+2,https://cdn.sofifa.net/players/207/421/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png,7698,35,2647,5,5.412756389,5,5.398416234,58,51,2,0,F M S,Brighton,5,5.412756389,15.99893452,7.631562136,Leandro Trossard,30(5),2622,5,5,2,0,1.7,78.8,0.1,2,6.8,Brighton,58,5,5.412756398,5,53,1,4,51,7,5,0,2,28,0,28,0,1,0,4,2,30,26,0,3,2,22,3,-0.412756398,0.2,0.075471698,0.098039216,0,0,0.035714286,NA,0.142857143,0,0.1,0.076923077,0.136363636,W
35,Lewis Dunk,Dunk,199915,https://sofifa.com/player/199915/lewis-dunk/220002,L. Dunk,Lewis Dunk,CB,78,79,13000000,56000,29,11/21/91,192,88,1808,Brighton & Hove Albion,English Premier League,1,LCB,5,NA,7/1/10,2025,14,England,NA,NA,NA,Right,3,2,1,Medium,High,Normal (185+),Yes,25700000,NA,"Power Free-Kick, Solid Player, Dives Into Tackles (AI), Leadership, Long Passer (AI), Power Header, Team Player",46,51,62,64,79,78,32,42,76,75,24,65,52,69,75,70,39,52,38,82,39,72,74,68,83,67,80,78,30,58,36,77,81,78,78,15,16,9,12,6,NA,59+2,59+2,59+2,56,59,59,59,56,61+2,61+2,61+2,58+2,68+2,68+2,68+2,58+2,67+2,76+2,76+2,76+2,67+2,69+2,78+1,78+1,78+1,69+2,20+2,https://cdn.sofifa.net/players/199/915/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,6048,33,2934,5,2.709076251,0,0.830638369,32,10,5,2,D,Brighton,5,2.709076251,8.376229838,7.971441999,Lewis Dunk,33,2933,5,0,5,2,1,89.4,2.4,0,6.84,Brighton,33,5,2.709076248,3,30,1,4,2,31,0,5,22,2,0,9,4,0,0,1,4,22,7,1,4,0,22,4,2.290923752,0.333333333,0.133333333,0,0.161290323,0.181818182,0,NA,0.111111111,0.25,0.181818182,0,0.181818182,DEF
36,Marcus Rashford,Rashford,231677,https://sofifa.com/player/231677/marcus-rashford/220002,M. Rashford,Marcus Rashford,"LM, ST",85,89,77500000,150000,23,10/31/97,186,70,11,Manchester United,English Premier League,1,SUB,10,NA,7/1/14,2023,14,England,1318,SUB,11,Right,3,5,3,High,Medium,Unique,Yes,149200000,#Dribbler,"Power Free-Kick, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Team Player",90,84,79,84,43,77,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33,11,6,15,7,14,NA,83+3,83+3,83+3,84,84,84,84,84,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,67+3,64+3,64+3,64+3,67+3,63+3,57+3,57+3,57+3,63+3,18+3,https://cdn.sofifa.net/players/231/677/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png,556,37,2941,11,9.579709992,9,4.185122116,79,44,4,0,F M S,Manchester United,11,9.579709992,20.44191016,8.927207557,Marcus Rashford,33(4),2928,11,9,4,0,2.1,82.1,0.7,3,7.13,Manchester United,79,11,9.579709977,14,65,5,6,69,10,11,0,6,10,0,63,0,3,0,8,4,49,26,0,11,0,36,10,1.420290023,0.357142857,0.092307692,0.15942029,0,0,0.3,NA,0.126984127,0,0.224489796,0,0.277777778,W
37,Mason Greenwood,Greenwood,246147,https://sofifa.com/player/246147/mason-greenwood/220002,M. Greenwood,Mason Greenwood,"RM, ST",78,89,30500000,56000,19,10/1/01,181,70,11,Manchester United,English Premier League,1,RM,11,NA,10/2/18,2025,14,England,NA,NA,NA,Left,5,3,1,High,Medium,Lean (170-185),Yes,62500000,NA,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",84,78,73,79,39,68,72,77,65,76,68,81,75,65,69,78,83,84,81,77,76,83,67,74,69,78,59,34,79,73,67,76,35,39,33,5,6,6,9,8,NA,77+2,77+2,77+2,78,78,78,78,78,77+2,77+2,77+2,77+2,72+2,72+2,72+2,77+2,61+2,58+2,58+2,58+2,61+2,58+2,51+2,51+2,51+2,58+2,15+2,https://cdn.sofifa.net/players/246/147/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,7490,31,1825,7,6.975748036,2,2.42789981,67,14,2,0,F M S,Manchester United,7,6.975748036,14.03183276,5.954058945,Mason Greenwood,21(10),1826,7,2,2,0,2.2,85,0.2,1,6.72,Manchester United,67,7,6.97574803,7,60,2,5,62,5,6,1,6,44,0,17,1,4,0,2,3,44,20,0,7,0,27,5,0.02425197,0.285714286,0.083333333,0.096774194,0.2,0.166666667,0.090909091,NA,0.117647059,0,0.159090909,0,0.185185185,ST
38,Mason Mount,Mount,233064,https://sofifa.com/player/233064/mason-mount/220002,M. Mount,Mason Mount,"CAM, CM, RW",83,89,58500000,120000,22,1/10/99,178,70,5,Chelsea,English Premier League,1,RW,19,NA,1/10/16,2024,14,England,1318,LCM,19,Right,4,3,3,High,High,Lean (170-185),Yes,119900000,#Engine,"Long Shot Taker (AI), Technical Dribbler (AI)",74,79,84,83,55,65,82,79,59,86,75,82,81,83,83,85,77,71,80,84,76,81,54,86,54,82,68,59,81,83,60,84,54,57,41,11,12,13,8,12,NA,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3,71+3,71+3,71+3,71+3,71+3,68+3,60+3,60+3,60+3,68+3,19+3,https://cdn.sofifa.net/players/233/064/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png,7768,36,2891,6,6.884880336,5,9.847691355,82,87,2,0,F M S,Chelsea,5,6.12371151,21.69607448,12.44314904,Mason Mount,32(4),2892,6,5,2,0,2.3,86.5,0.6,4,7.33,Chelsea,81,5,6.123711541,6,75,2,3,67,14,5,0,0,13,0,68,0,2,0,3,5,32,44,0,4,1,19,4,-1.123711541,0.333333333,0.04,0.074626866,0,NA,0.153846154,NA,0.044117647,0,0.125,0.022727273,0.210526316,CM
39,Matheus Pereira,Pereira,210243,https://sofifa.com/player/210243/ricardo-barbosa-pereira/220002,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,"RB, RM",84,84,40500000,130000,27,10/6/93,175,70,95,Leicester City,English Premier League,1,RB,21,NA,6/9/18,2023,38,Portugal,NA,NA,NA,Right,4,3,3,High,High,Unique,Yes,77000000,NA,"Early Crosser, Speed Dribbler (AI), Team Player",83,67,78,82,80,75,82,66,67,82,59,81,78,52,77,83,82,83,79,83,82,74,75,84,69,64,79,79,77,76,61,81,80,84,83,16,12,15,11,11,NA,75+3,75+3,75+3,79,78,78,78,79,79+3,79+3,79+3,80+3,79+3,79+3,79+3,80+3,82+2,81+3,81+3,81+3,82+2,82+2,79+3,79+3,79+3,82+2,20+3,https://cdn.sofifa.net/players/210/243/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/pt.png,7153,33,2594,11,6.948316539,6,6.3555393,65,58,2,1,M S,West Bromwich Albion,7,3.903641086,10.85705416,3.757923773,Matheus Pereira,30(3),2582,11,6,2,1,2,79.6,0.4,2,6.96,West Bromwich Albion,61,7,3.903641083,2,59,1,6,45,16,5,2,2,56,0,3,0,7,0,0,0,23,38,0,4,3,18,3,3.096358917,0.5,0.101694915,0.111111111,0.125,0,0.125,NA,0,NA,0.173913043,0.078947368,0.166666667,ST
40,Michail Antonio,Antonio,190717,https://sofifa.com/player/190717/michail-antonio/220002,M. Antonio,Michail Antonio,"ST, RM",79,79,15000000,79000,31,3/28/90,178,82,19,West Ham United,English Premier League,1,ST,9,NA,9/1/15,2023,82,Jamaica,NA,NA,NA,Right,3,4,2,High,Medium,Stocky (170-185),Yes,28500000,NA,"Injury Prone, Flair, Speed Dribbler (AI), Power Header, Giant Throw-in, Team Player",83,76,73,78,55,83,75,79,84,75,70,79,66,60,72,76,79,87,80,80,78,79,91,76,86,68,83,45,80,74,75,70,51,56,53,12,13,8,14,10,NA,79,79,79,78,78,78,78,78,77+2,77+2,77+2,78+1,73+2,73+2,73+2,78+1,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,66+2,19+2,https://cdn.sofifa.net/players/190/717/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/jm.png,531,26,1993,10,14.13883854,5,3.194422813,63,27,3,0,F S,West Ham,10,14.13883854,19.27382588,2.770520601,Michail Antonio,24(2),1984,10,5,3,0,2.4,68.2,2.8,2,7.17,West Ham,63,10,14.13883865,18,45,9,1,61,2,10,0,11,7,0,45,2,2,0,6,17,34,12,7,3,0,25,3,-4.138838651,0.5,0.022222222,0.163934426,0,0.181818182,0.285714286,NA,0.133333333,0.411764706,0.088235294,0,0.12,ST
41,Mohamed Salah,Salah,209331,https://sofifa.com/player/209331/mohamed-salah/220002,M. Salah,Mohamed Salah Ghaly,RW,89,89,101000000,270000,29,6/15/92,175,71,9,Liverpool,English Premier League,1,RW,11,NA,7/1/17,2023,111,Egypt,NA,NA,NA,Left,3,4,4,High,Medium,Unique,Yes,186900000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,NA,85+3,85+3,85+3,88,88,88,88,88,87+2,87+2,87+2,87+2,82+3,82+3,82+3,87+2,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3,https://cdn.sofifa.net/players/209/331/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/eg.png,1250,37,3085,22,20.25084664,5,6.528526101,126,55,0,0,F M S,Liverpool,16,15.68383364,28.96823355,9.800235655,Mohamed Salah,34(3),3082,22,5,0,0,3.4,83.7,0.5,3,7.07,Liverpool,120,16,15.68383354,20,100,7,9,103,17,14,2,7,100,1,12,2,13,0,1,8,85,27,2,12,2,68,11,0.316166462,0.35,0.09,0.13592233,0.117647059,0.285714286,0.13,0,0.083333333,0.25,0.141176471,0.074074074,0.161764706,W
42,Neal Maupay,Maupay,211784,https://sofifa.com/player/211784/neal-maupay/220002,N. Maupay,Neal Maupay,ST,77,82,16000000,52000,24,8/14/96,173,69,1808,Brighton & Hove Albion,English Premier League,1,RS,9,NA,8/5/19,2023,18,France,NA,NA,NA,Right,4,3,1,Medium,Medium,Normal (170-185),Yes,31600000,NA,NA,77,78,67,73,41,71,61,80,73,74,76,68,63,55,59,78,79,76,76,79,81,78,59,74,67,71,80,26,82,69,80,69,30,55,33,11,12,7,8,14,NA,77+2,77+2,77+2,74,76,76,76,74,74+2,74+2,74+2,73+2,69+2,69+2,69+2,73+2,58+2,58+2,58+2,58+2,58+2,57+2,54+2,54+2,54+2,57+2,18+2,https://cdn.sofifa.net/players/211/784/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/fr.png,3621,33,2526,8,13.77353451,2,4.277407881,71,32,1,1,F M S,Brighton,5,10.72893275,17.15753916,3.381784765,Neal Maupay,29(4),2519,8,2,1,1,2.2,78.5,0.6,1,6.57,Brighton,67,5,10.72893283,14,53,4,1,63,4,5,0,7,18,1,41,0,1,0,4,9,45,13,3,2,0,39,2,-5.728932826,0.285714286,0.018867925,0.079365079,0,0,0.055555556,0,0.097560976,0.333333333,0.044444444,0,0.051282051,ST
43,Nicolas Pepe,Pepe,226110,https://sofifa.com/player/226110/nicolas-pepe/220002,N. Pépé,Nicolas Pépé,"RM, RW",81,82,30500000,95000,26,5/29/95,183,73,1,Arsenal,English Premier League,1,RM,19,NA,8/1/19,2024,108,Côte d'Ivoire,NA,NA,NA,Left,2,4,2,High,Medium,Unique,Yes,60200000,NA,"Finesse Shot, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",88,79,75,83,36,65,77,79,57,76,70,85,81,79,66,81,88,88,88,77,79,81,66,77,68,78,43,33,77,76,85,77,36,34,30,11,14,11,6,8,NA,77+2,77+2,77+2,81,80,80,80,81,79+2,79+2,79+2,80+2,72+2,72+2,72+2,80+2,62+2,57+2,57+2,57+2,62+2,58+2,48+2,48+2,48+2,58+2,17+2,https://cdn.sofifa.net/players/226/110/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/ci.png,5656,29,1602,10,6.000206442,1,1.012160038,47,11,1,1,F M S,Arsenal,9,5.239037622,9.35974014,4.217725778,Nicolas Pépé,16(13),1614,10,1,1,1,1.7,81.1,1.2,4,6.76,Arsenal,46,9,5.239037624,6,40,3,6,41,5,9,0,4,34,0,8,0,6,0,3,3,34,9,1,8,0,21,6,3.760962376,0.5,0.15,0.219512195,0,0,0.176470588,NA,0.375,0.333333333,0.235294118,0,0.285714286,W
44,Ollie Watkins,Watkins,221697,https://sofifa.com/player/221697/ollie-watkins/220002,O. Watkins,Ollie Watkins,ST,78,83,21000000,67000,25,12/30/95,180,70,2,Aston Villa,English Premier League,1,SUB,11,NA,9/9/20,2025,14,England,NA,NA,NA,Right,4,3,2,High,High,Normal (170-185),No,41500000,#Engine,"Solid Player, Speed Dribbler (AI)",85,75,68,75,46,71,67,80,81,70,64,75,63,56,59,76,79,89,79,77,73,75,92,88,76,71,34,44,79,74,60,66,40,46,36,14,14,14,6,10,NA,78+2,78+2,78+2,76,77,77,77,76,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,63+2,59+2,59+2,59+2,63+2,61+2,56+2,56+2,56+2,61+2,18+2,https://cdn.sofifa.net/players/221/697/22_120.png,https://cdn.sofifa.net/teams/2/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,8865,37,3330,14,16.28017765,5,5.314029492,98,45,2,1,F,Aston Villa,13,14.75784001,22.01402079,5.334991174,Ollie Watkins,37,3329,14,5,2,1,2.6,71.5,3.7,4,7.18,Aston Villa,96,13,14.75784001,17,79,8,5,86,10,12,1,24,22,0,50,3,4,0,6,12,74,10,5,8,0,58,7,-1.757840008,0.470588235,0.063291139,0.139534884,0.1,0.125,0.181818182,NA,0.12,0.416666667,0.108108108,0,0.120689655,ST
